Key,Chinese (Simplified)(zh),English(en),Japanese(ja),Korean(ko)
But_REROLL,重抽(1G),REROLL(1G),リロール(1G),리롤(1G)
But_Start,开始,Start,スタート,시작
But_Back,返回,Back,戻る,돌아가기
Text_Gold,金币,Gold,ゴールド,골드
Text_defeat,失败,Defeat,失敗,패배
Text_victory,胜利,Victory,ゲームクリア,성공
Text_FireGimmickText,"火焰<sprite name=""Fire"">:每1秒对堆体造成伤害，堆体减少1。","Flame<sprite name=""Fire"">: Damage as much as the stack every second and decrease the stack by one.","火炎<sprite name=""Fire"">:1秒ごとに溜まった分だけダメージを与え、カウントが1減少します。","화염<sprite name=""Fire"">: 1초마다 스택만큼 데미지를 주고 스택이 1 감소합니다."
Text_IceGimmickText,"冻疮<sprite name=""Ice"">:重叠5次，击昏敌人1秒。","Statue <sprite name=""Ice"">: 5 superimposes, knocks the enemy out for 1 second.","凍傷<spright name=""Ice"">:5回重畳すると、敵を1秒気絶させます。","동상<sprite name=""Ice"">: 5번 중첩되면,적을 1초 기절시킵니다."
Text_SwordGimmickText,"剑<sprite name=""Sword"">:维持一定时间的召唤水。 如果向剑发出命令，那么所有的剑都会执行同样的命令。","Sword<sprite name=""Sword"">: Summoner that is maintained for a certain period of time. If you give commands to the sword, all swords perform the same command.","剣<sprite name=""Sword"">:一定時間維持される召喚数です。 剣に命令を下すと、すべての剣が同じ命令を実行します。","검<sprite name=""Sword"">: 일정시간 동안 유지되는 소환수입니다. 검에게 명령을 내리면 모든 검이 동일한 명령을 수행합니다."
Text_TotemGimmickText,"图腾<sprite name=""Totem"">: 堆到3个。 3个聚在一起，效果就会启动并消失。 第三，积累的图腾效果会得到加强。","Totem<sprite name=""Totem"">: piling up to three. When three are gathered, the effect is triggered and disappeared. The third stacked totem is enhanced.","トーテム<spright name=""Totem"">:3つまで溜まります。 3つ集まると効果が発動して消えます。 3番目に溜まったトーテムは効果が強化されます。","토템<sprite name=""Totem"">: 3개까지 쌓입니다. 3개가 모이면 효과가 발동하고 사라집니다. 3번째로 쌓인 토템은 효과가 강화됩니다."
