Key,Chinese (Simplified)(zh),English(en),Japanese(ja),Korean(ko)
Tile_ArchmageStaffTile,"发射强大的投射体 。
（受害量:<color=red>30</color>）","Protects against powerful projectiles. 
(Damage: <color=red>30</color>)","強力な弾を発射します。
(ダメージ：<color=red>30</color>)","강력한 투사체를 발사합니다. 
(피해량: <color=red>30</color>)"
Tile_ArmorTile,"获得1个防御网。
防御网:防止1次损伤。","Obtain one shield.
Shield: Protects against one dose of damage.","防御膜を1獲得します。
防御膜:1回のダメージを防ぎます。","방어막을 1 획득합니다.
방어막: 1회의 데미지를 막아줍니다."
Tile_BigHeartTile,个别格（3）:恢复体力<color=green>15</color>,Individual compartment (3): Restore <color=green>15</color> physical strength.,個別マス(3):体力を<color=green>15</color>回復します。,개별칸(3): 체력을 <color=green>15</color> 회복합니다.
Tile_DamageTotemTile,"堆叠图腾<sprite name=""Totem""> 3个图腾<sprite name=""Totem"">堆积后启动。
启动时: 发射投射体 。","Stack totem<sprite name=""Totem""> start when 3 totem<sprite name=""Totem""> are stacked.
Upon activation: fire the projectile.","トーテム<sprite name=""Totem"">を積みます。 3つのトーテム<spritename=""Totem"">がたまると発動します。
発動時:弾を発射します。","토템<sprite name=""Totem"">을 쌓습니다. 3개의 토템<sprite name=""Totem"">이 쌓이면 발동합니다.
발동시: 투사체를 발사합니다. "
Tile_FireBallTile,"发射三个投射体。
（受害量:<color=red>5 X 3</color>）
击中: 赋予火焰<sprite name=""Fire"" >","Launch three projectiles.
(Damage: <color=red>5 X 3</color>)
On hit: Give the flame <sprite name=""Fire"">.","3つの弾を発射します。
(ダメージ:<color=red>5 X3</color>)
的中時:火炎<sprite name=""Fire"">を付与します。","3개의 투사체를 발사합니다.
(피해량: <color=red>5 X 3</color> )
적중시: 화염<sprite name=""Fire"">을 부여합니다."
Tile_FireBoltTile,"发射投射体 。
（受害量:<color=red>5</color>）
击中:赋予火焰<sprite name=""Fire""> 1 。","Launch the projectile.
(Damage: <color=red>5</color>)
Hit: Give 1 flame <sprite name=""Fire"">.","弾を発射します。
(ダメージ:<color=red>5</color>)
的中時:火炎<sprite name=""Fire"">を1付与します。","투사체를 발사합니다. 
(피해량: <color=red>5</color>)
적중시: 화염<sprite name=""Fire"">을 1 부여합니다."
Tile_FrostStaffTile,"单个格 (3) : 发射投射体 。
（受害量:<color=red>5</color>）
击中时: 赋予冻疮<sprite name="" Ice""> 1 。","Individual compartment (3): Fire the projectile.
(Damage: <color=red>5</color>)
Hit: frost bite<sprite name=""Ice"">.","個別マス(3):弾を発射します。
(ダメージ:<color=red>5</color>)
的中時:凍傷<sprite name=""Ice"">を1付与します。","개별칸(3): 투사체를 발사합니다.
(피해량: <color=red>5</color>)
적중시: 동상<sprite name=""Ice"">을 1 부여합니다."
Tile_HatTile,"获得15个保护膜。
保护膜:防止一定数量的破损。 每秒减少。","Acquire 15 protective layers.
Protective film: Protects against a certain amount of damage. Decreases every second.","シールドを 15 獲得します。
シールド:一定量のダメージを防ぎます。 毎秒減少します。","보호막을 15 획득합니다. 
보호막: 일정량의 데미지를 막아줍니다. 매초 감소합니다."
Tile_HealTotemTile,"堆叠图腾<sprite name=""Totem""> 3个图腾<sprite name=""Totem"">堆积后启动。
启动时:恢复体力<color=green>7</color>。
强化时:恢复量增加2倍。","Stack totem<sprite name=""Totem"">; start when 3 totem<sprite name=""Totem""> are stacked.
Upon activation: restore <color=green>7</color> physical strength.
When strengthening: The recovery is doubled.","トーテム<sprite name=""Totem"">を積みます。 3つのトーテム<spritename=""Totem"">がたまると発動します。
発動時:体力を<color=green>7</color>回復します。
強化時:回復量が 2 倍になります。","토템<sprite name=""Totem"">을 쌓습니다. 3개의 토템<sprite name=""Totem"">이 쌓이면 발동합니다.
발동시: 체력을 <color=green>7</color> 회복합니다.
강화시: 회복량이 2배가 됩니다."
Tile_HeartTile,恢复体力<color=green>15</color>。,Restore <color=green>15</color> physical strength.,体力を<color=green>15</color>回復します。,체력을 <color=green>15</color>회복합니다.
