Key,Chinese (Simplified)(zh),English(en),Japanese(ja),Korean(ko)
Tile_ArchmageStaffTile,大法师之杖,ArchmageStaff,大魔法使いの杖,대마법사의 지팡이
Tile_ArmorTile,护甲,Armor,鎧,갑옷
Tile_BigHeartTile,大心脏 ,BigHeart,大きいハート,큰 하트
Tile_DamageTotemTile,伤害图腾,DamageTotem,怒りのトーテム,분노 토템
Tile_FireBallTile,火球,FireBall,ファイアボール,화염구
Tile_FireBoltTile,火焰箭,FireBolt,ファイアボルト,화염살
Tile_FrostStaffTile,冰霜法杖,FrostStaff,氷の杖,냉기 지팡이
Tile_HatTile,帽子,Hat,魔法使いの帽子,모자
Tile_HealTotemTile,治疗图腾,HealTotem,癒しのトーテム,치유 토템
Tile_HeartTile,心脏,Heart,ハート,하트
Tile_IcicleTile,冰锥,Icicle,つらら,고드름
Tile_KoreaTotemTile,韩式图腾,KoreaTotem,戦のトーテム,전쟁 토템
Tile_ManaPotionTile,魔力药水,ManaPotion,マナポーション,마나포션
Tile_RobeTile,长袍 ,Robe,魔法使いのローブ,로브
Tile_SwordTile,剑,Sword,剣召喚,검 소환
Tile_WarFlagTile,战旗,WarFlag,戦の旗,전쟁 깃발
